Id;Vokabel;Uebersetzung;Status;Fundstelle;Band;Wortart;Beispielsatz;Hinweis;Tagged;Lemma;SentId
2681;to point out;hinweisen, deuten, aufmerksam machen;aktiv;4/B2;III;v;Max pointed out all the interesting sights on their tour.;ID 5639689;[('to', 'TO'), ('point', 'VB'), ('out', 'RP')];['to', 'point', 'out'];None
2682;to report;berichten, melden, hier: wiedergeben;aktiv;4/B3;III;v;Newspapers often report what people have said.;;[('to', 'TO'), ('report', 'VB')];['to', 'report'];None
2683;effect;Wirkung, Effekt, Auswirkung;aktiv;4/B4;III;s;Scott’s friend’s comments had a big effect on him.;;[('effect', 'NN')];['effect'];None
2684;Valentine's Day;Valentinstag;passiv;4/B4;III;s;;;"[('Valentine', 'NNP'), (""'s"", 'POS'), ('Day', 'NNP')]";"['Valentine', ""'s"", 'Day']";None
2685;to get to know sb (irr);jdn kennenlernen;aktiv;4/B4;III;ph;It’s fun to get to know new people.;;[('to', 'TO'), ('get', 'VB'), ('to', 'TO'), ('know', 'VB'), ('sb', 'NN'), ('(', '('), ('irr', 'NN'), (')', ')')];['to', 'get', 'to', 'know', 'sb', '(', 'irr', ')'];None
2686;confused;verwirrt, durcheinander, verworren;aktiv;4/B4;III;a;I don't understand. I'm so confused.;ID 6193425;[('confused', 'VBN')];['confused'];None
2687;to insist;(darauf) bestehen;aktiv;4/B4;III;v;John’s mum insists he does his homework before he plays computer games.;;[('to', 'TO'), ('insist', 'VB')];['to', 'insist'];None
2688;set;Satz, Paar;passiv;4/B5;III;s;;;[('set', 'NN')];['set'];['2189']
2689;silent;still, ruhig, schweigsam;aktiv;4/B5;III;a;Dan couldn’t hear a sound. The house was silent.;;[('silent', 'NN')];['silent'];None
2690;latest;jüngste(r, s), letzte(r, s), neueste(r, s);aktiv;4/B5;III;a;Kim had been away for two weeks, so Tessa told her about the latest developments.;;[('latest', 'JJS')];['latest'];None
2691;development;Entwicklung;aktiv;4/B5;III;s;Kim had been away for two weeks, so Tessa told her about the latest developments.;;[('development', 'NN')];['development'];None
2692;to keep (irr);behalten, aufbewahren, hier: lassen, beibehalten;aktiv;4/B5;III;v;Sometimes it is better to keep things as they are.;;[('to', 'TO'), ('keep', 'VB'), ('(', '('), ('irr', 'NN'), (')', ')')];['to', 'keep', '(', 'irr', ')'];['2191']
2693;responsible;verantwortlich, zuständig;aktiv;4/B5;III;a;;;[('responsible', 'JJ')];['responsible'];None
2694;trouble (no pl);Schwierigkeiten, Ärger;aktiv;4/B5;III;s;Robert is in trouble.;ID 4754622;[('trouble', 'NN'), ('(', '('), ('no', 'DT'), ('pl', 'NN'), (')', ')')];['trouble', '(', 'no', 'pl', ')'];None
2695;to introduce;vorstellen;aktiv;4/B5;III;v;Kate introduced us to her cousin.;;[('to', 'TO'), ('introduce', 'VB')];['to', 'introduce'];None
2696;social studies (only pl);Gemeinschaftskunde, Sozialkunde;passiv;4/B7;III;s;;;[('social', 'JJ'), ('studies', 'NNS'), ('(', '('), ('only', 'RB'), ('pl', 'NN'), (')', ')')];['social', 'study', '(', 'only', 'pl', ')'];None
2697;to list;auflisten;aktiv;4/B7;III;v;Mary listed all of her favourite animals.;;[('to', 'TO'), ('list', 'VB')];['to', 'list'];None
2698;social networking site;soziales Netzwerk;aktiv;4/B7;III;s;PalPlace is a social networking site where you can meet your friends online.;;[('social', 'JJ'), ('networking', 'NN'), ('site', 'NN')];['social', 'networking', 'site'];['2192']
2699;to keep sb up-to-date (irr);jdn auf dem neuesten Stand halten;aktiv;4/B7;III;ph;My German friend Daniel keeps me up-to-date on his news via PalPlace.;;[('to', 'TO'), ('keep', 'VB'), ('sb', 'JJ'), ('up-to-date', 'JJ'), ('(', '('), ('irr', 'NN'), (')', ')')];['to', 'keep', 'sb', 'up-to-date', '(', 'irr', ')'];None
2700;distant;fern, (weit) entfernt;aktiv;4/B7;III;a;Nancy meets up with her distant relatives once a year.;;[('distant', 'NN')];['distant'];['2191']
2701;relative;Verwandter/Verwandte;aktiv;4/B7;III;s;Nancy meets up with her distant relatives once a year.;;[('relative', 'NN')];['relative'];['2191']
2702;cause;Grund, Ursache, Anlass, hier: Sache;passiv;4/B7;III;s;;;[('cause', 'NN')];['cause'];None
2703;right;Recht;passiv;4/B7;III;s;;;[('right', 'NN')];['right'];['2192']
2704;social;Gesellschaft(s)-, gesellschaftlich, sozial;aktiv;4/B7;III;a;Our school organizes lots of social events for us: school discos, trips and sports days.;;[('social', 'JJ')];['social'];['2192', '2196']
2705;activist;Aktivist/in;passiv;4/B7;III;s;;;[('activist', 'NN')];['activist'];['2192']
2706;to join;verbinden, hier: sich anschließen;aktiv;4/B7;III;v;Jane joined the girls’ tennis club.;;[('to', 'TO'), ('join', 'VB')];['to', 'join'];None
2707;recording contract;Plattenvertrag;passiv;4/B7;III;s;;;[('recording', 'VBG'), ('contract', 'NN')];['recording', 'contract'];['2195']
2708;contract;Vertrag;passiv;4/B7;III;s;;;[('contract', 'NN')];['contract'];['2195']
2709;separate;getrennt, separat, einzeln;aktiv;4/B8;III;a;On a separate sheet of paper, make a list of your favourite sports.;;[('separate', 'JJ')];['separate'];None
2710;sheet;Blatt, Platte, Laken;passiv;4/B8;III;s;;;[('sheet', 'NN')];['sheet'];None
2711;setting;Einstellung;passiv;4/B8;III;s;;;[('setting', 'VBG')];['setting'];['2210']
2712;careful;vorsichtig, hier: sorgfältig;aktiv;4/B8;III;a;Be careful with the glasses. You don't want to break them.;;[('careful', 'NN')];['careful'];['2210']
2713;username;Benutzername, Username;aktiv;4/B8;III;s;You could use your real name as your username, or you could make up a nickname.;;[('username', 'NN')];['username'];None
2714;nickname;Spitzname, Kosename;aktiv;4/B8;III;s;You could use your real name as your username, or you could make up a nickname.;;[('nickname', 'NN')];['nickname'];['2208']
2715;security (no pl);Sicherheit;aktiv;4/B8;III;s;Security is very important when you are online. You must stay safe.;;[('security', 'NN'), ('(', '('), ('no', 'DT'), ('pl', 'NN'), (')', ')')];['security', '(', 'no', 'pl', ')'];['2210']
2716;control (no pl);Kontrolle, Gewalt, Herrschaft;aktiv;4/B8;III;s;Make sure you always have control of everything on your profile on the Internet.;;[('control', 'NN'), ('(', '('), ('no', 'DT'), ('pl', 'NN'), (')', ')')];['control', '(', 'no', 'pl', ')'];None
2717;roller coaster;Achterbahn;passiv;4/C1;III;s;;;[('roller', 'NN'), ('coaster', 'NN')];['roller', 'coaster'];None
2718;Guess what!;Stell dir vor!, Rate mal!;passiv;4/C3;III;ph;Guess what, my brother Ben has a girlfriend! – No way!;;[('Guess', 'VB'), ('what', 'WP'), ('!', '.')];['Guess', 'what', '!'];['2214']
2719;Valentine's card;Valentinskarte;passiv;4/C3;III;s;;;"[('Valentine', 'NNP'), (""'s"", 'POS'), ('card', 'NN')]";"['Valentine', ""'s"", 'card']";None
2720;whoever;wer (auch immer);passiv;4/C3;III;p;;;[('whoever', 'NN')];['whoever'];['2220']
2721;it says;da(rauf) steht;passiv;4/C3;III;ph;;;[('it', 'PRP'), ('says', 'VBZ')];['it', 'say'];None
2722;the only one;der/die/das Einzige;passiv;4/C3;III;ph;;;[('the', 'DT'), ('only', 'JJ'), ('one', 'NN')];['the', 'only', 'one'];['2221']
2723;to help oneself (to sth);sich (an etw) bedienen;passiv;4/C3;III;ph;;;[('to', 'TO'), ('help', 'VB'), ('oneself', 'PRP'), ('(', '('), ('to', 'TO'), ('sth', 'VB'), (')', ')')];['to', 'help', 'oneself', '(', 'to', 'sth', ')'];None
2724;mirror;Spiegel;passiv;4/C3;III;s;Gillian is standing in front of a mirror. She can't decide which top to wear.;ID 6114291;[('mirror', 'NN')];['mirror'];['2227']
2725;to hurry (up);sich beeilen;aktiv;4/C3;III;ph;Hurry up or we’ll be late! – I’m coming!;;[('to', 'TO'), ('hurry', 'NN'), ('(', '('), ('up', 'RP'), (')', ')')];['to', 'hurry', '(', 'up', ')'];['2233']
2726;myself;mir, mich, ich (selbst);aktiv;4/C4;III;p;;;[('myself', 'PRP')];['myself'];['2224']
2727;yourself (pl yourselves);dich, dir, (du/Sie) selbst;aktiv;4/C4;III;p;;;[('yourself', 'PRP'), ('(', '('), ('pl', 'JJ'), ('yourselves', 'NNS'), (')', ')')];['yourself', '(', 'pl', 'yourselves', ')'];None
2728;himself;sich, (sich) selbst;aktiv;4/C4;III;p;;;[('himself', 'PRP')];['himself'];None
2729;herself;sich, (sich) selbst;aktiv;4/C4;III;p;;;[('herself', 'NN')];['herself'];['2220']
2730;itself;sich, (sich) selbst;aktiv;4/C4;III;p;;;[('itself', 'PRP')];['itself'];None
2731;ourselves;uns, wir;aktiv;4/C4;III;p;;;[('ourselves', 'NNS')];['ourselves'];['2222', '2225']
2732;themselves;sich, sie selbst, (sich) selbst;aktiv;4/C4;III;p;;;[('themselves', 'PRP')];['themselves'];None
2733;use;Verwendung, (Be)nutzung, Gebrauch;aktiv;4/C4;III;s;The use of mobile phones in school is not allowed.;;[('use', 'NN')];['use'];['2243']
2734;to burn;(ab)brennen, verbrennen;aktiv;4/C5;III;v;Paul got too close to the fire and burned his hand.;;[('to', 'TO'), ('burn', 'VB')];['to', 'burn'];None
2735;to wash;(sich) waschen;aktiv;4/C5;III;v;I have to wash my hands before dinner.;;[('to', 'TO'), ('wash', 'VB')];['to', 'wash'];None
2736;to dress;sich anziehen;aktiv;4/C5;III;v;Rebecca was late for school, so she had to dress very quickly.;;[('to', 'TO'), ('dress', 'VB')];['to', 'dress'];None
2737;to hurry;sich beeilen;aktiv;4/C5;III;v;;;[('to', 'TO'), ('hurry', 'VB')];['to', 'hurry'];['2233']
2738;to reassure sb;jdn (wieder) beruhigen;passiv;4/C6;III;ph;;;[('to', 'TO'), ('reassure', 'VB'), ('sb', 'NN')];['to', 'reassure', 'sb'];None
2739;whether;(egal) ob;aktiv;4/C6;III;k;Sarah doesn’t know whether to go to the party or not.;;[('whether', 'IN')];['whether'];None
2740;awkward;schwierig, unangenehm, peinlich;passiv;4/C6;III;a;;;[('awkward', 'NN')];['awkward'];['2249']
2741;to panic;in Panik geraten;passiv;4/C6;III;v;;;[('to', 'TO'), ('panic', 'VB')];['to', 'panic'];['2250']
2742;on one's own;(ganz) allein(e);aktiv;4/C6;III;ph;None of Pat’s friends could go swimming, so he had to go on his own.;;"[('on', 'IN'), ('one', 'CD'), (""'s"", 'POS'), ('own', 'JJ')]";"['on', 'one', ""'s"", 'own']";None
2743;youth club;Jugendzentrum;passiv;4/C6;III;s;;;[('youth', 'NN'), ('club', 'NN')];['youth', 'club'];['2269', '2270', '2298']
2744;to relax;entspannen;aktiv;4/C6;III;v;William finds it easy to relax on holiday.;;[('to', 'TO'), ('relax', 'VB')];['to', 'relax'];None
2745;shall;sollen, werden;aktiv;4/C8;III;v;Shall we go to the park?;;[('shall', 'MD')];['shall'];['2261']
2746;to turn up;erscheinen, auftauchen;aktiv;4/C9;III;ph;Tom wasn’t invited but he still turned up at the party.;;[('to', 'TO'), ('turn', 'VB'), ('up', 'RP')];['to', 'turn', 'up'];None
2747;to appear;erscheinen, auftauchen, hier: scheinen;aktiv;4/C9;III;v;Victoria appears to be irritated. I wonder what is wrong?;;[('to', 'TO'), ('appear', 'VB')];['to', 'appear'];None
2748;irritated;verärgert, gereizt;aktiv;4/C9;III;a;Victoria appears to be irritated. I wonder what is wrong?;ID 6301850;[('irritated', 'JJ')];['irritated'];None
2749;amused;amüsiert;aktiv;4/C9;III;a;That wasn’t funny. I’m not amused.;;[('amused', 'VBN')];['amused'];None
2750;to sympathize (with);mitfühlen (mit);aktiv;4/C9;III;ph;I know how you feel. I sympathize with you.;;[('to', 'TO'), ('sympathize', 'VB'), ('(', '('), ('with', 'IN'), (')', ')')];['to', 'sympathize', '(', 'with', ')'];None
2751;mystery;Geheimnis, Rätsel;passiv;4/C9;III;s;;;[('mystery', 'NN')];['mystery'];['2266', '2272']
2752;outside (of);außerhalb (von);passiv;4/C9;III;pr;;;[('outside', 'JJ'), ('(', '('), ('of', 'IN'), (')', ')')];['outside', '(', 'of', ')'];['2270']
2753;handwriting (no pl);Handschrift;passiv;4/C9;III;s;;;[('handwriting', 'NN'), ('(', '('), ('no', 'DT'), ('pl', 'NN'), (')', ')')];['handwriting', '(', 'no', 'pl', ')'];None
2754;to solve;lösen;passiv;4/C9;III;v;;;[('to', 'TO'), ('solve', 'VB')];['to', 'solve'];None
2755;What's wrong?;Was ist los?;passiv;4/C9;III;ph;;;"[('What', 'WP'), (""'s"", 'VBZ'), ('wrong', 'JJ'), ('?', '.')]";"['What', ""'s"", 'wrong', '?']";None
2756;to check in;einchecken, (sich) anmelden;passiv;4/C9;III;v;;;[('to', 'TO'), ('check', 'VB'), ('in', 'IN')];['to', 'check', 'in'];None
2757;ending;Ende, Schluss;aktiv;4/C10;III;s;I was surprised by the ending of Romeo and Juliet because they both die.;;[('ending', 'VBG')];['ending'];None
2758;storyline;Handlung;passiv;4/C10;III;s;;;[('storyline', 'NN')];['storyline'];None
2759;spelling (no pl);Rechtschreibung;aktiv;4/C10;III;s;The spelling of Welsh names can be very difficult.;;[('spelling', 'VBG'), ('(', '('), ('no', 'DT'), ('pl', 'NN'), (')', ')')];['spelling', '(', 'no', 'pl', ')'];None
2760;diverse;vielfältig, breit gefächert, unterschiedlich;aktiv;5/A;III;a;Britain is a very diverse place. There are lots of people from different cultures.;;[('diverse', 'NN')];['diverse'];None
2761;exchange;(Aus)tausch;aktiv;5/A;III;s;Our school did an exchange with a school in Germany.;;[('exchange', 'NN')];['exchange'];['2303']
2762;to consider;nachdenken, betrachten, hier: berücksichtigen;aktiv;5/A2;III;v;Michael considered all of the choices carefully before making a decision.;;[('to', 'TO'), ('consider', 'VB')];['to', 'consider'];None
2763;far;weit;aktiv;5/A3;III;a;Is Newcastle far from London? - Yes, it is.;;[('far', 'RB')];['far'];['2305']
2764;firstly;erstens;aktiv;5/A3;III;av;Firstly, he's already got a girlfriend, and secondly, he doesn't even like me.;;[('firstly', 'RB')];['firstly'];None
2765;India;Indien;passiv;5/A3;III;s;;;[('India', 'NNP')];['India'];['2311']
2766;Hindi (no pl);Hindi (Amtssprache in Indien);passiv;5/A3;III;s;;;[('Hindi', 'NNP'), ('(', '('), ('no', 'DT'), ('pl', 'NN'), (')', ')')];['Hindi', '(', 'no', 'pl', ')'];['2312']
2767;above;über;aktiv;5/A3;III;pr;above ↔ below;;[('above', 'IN')];['above'];['2313']
2768;to be keen on sb/sth (informal) (irr);auf jdn/etw scharf sein, hier auch: versessen sein auf;aktiv;5/A3;III;ph;Alex is really keen on football. He loves it.;;[('to', 'TO'), ('be', 'VB'), ('keen', 'VBN'), ('on', 'IN'), ('sb/sth', 'NN'), ('(', '('), ('informal', 'JJ'), (')', ')'), ('(', '('), ('irr', 'NN'), (')', ')')];['to', 'be', 'keen', 'on', 'sb/sth', '(', 'informal', ')', '(', 'irr', ')'];None
2769;guitar;Gitarre;aktiv;5/A3;III;s;;ID 5246356;[('guitar', 'NN')];['guitar'];['2319', '2341']
2770;Turkey;Türkei;passiv;5/A4;III;s;;;[('Turkey', 'NN')];['Turkey'];['2332']
2771;medical;medizinisch, ärztlich;aktiv;5/A4;III;a;If you need medical help, you should go to see a doctor.;;[('medical', 'JJ')];['medical'];None
2772;dietary;Ernährungs-, Ess-;passiv;5/A4;III;a;;;[('dietary', 'JJ')];['dietary'];None
2773;restriction;Begrenzung, Beschränkung, Einschränkung;passiv;5/A4;III;s;;;[('restriction', 'NN')];['restriction'];['2339', '2343']
2774;to go skiing (irr);Ski fahren gehen;aktiv;5/A4;III;ph;Fred and his family always go skiing in winter.;ID 6200999;[('to', 'TO'), ('go', 'VB'), ('skiing', 'NN'), ('(', '('), ('irr', 'NN'), (')', ')')];['to', 'go', 'skiing', '(', 'irr', ')'];None
2775;Asia;Asien;aktiv;5/A4;III;s;Japan is in Asia.;;[('Asia', 'NN')];['Asia'];None
2776;particularly;besonders, vor allem;aktiv;5/A4;III;av;Pete likes fruit, particularly apples.;;[('particularly', 'RB')];['particularly'];None
2777;piano;Klavier, Piano;aktiv;5/A4;III;s;;;[('piano', 'NN')];['piano'];['2336']
2778;divorced;geschieden;aktiv;5/A4;III;a;Tom’s parents are divorced so he lives with his dad.;;[('divorced', 'VBN')];['divorced'];None
2779;to be allergic to sth (irr);auf etw allergisch reagieren, gegen etw allergisch sein;aktiv;5/A4;III;ph;Sam is allergic to strawberries. It would be dangerous for him to eat them.;;[('to', 'TO'), ('be', 'VB'), ('allergic', 'JJ'), ('to', 'TO'), ('sth', 'VB'), ('(', '('), ('irr', 'NN'), (')', ')')];['to', 'be', 'allergic', 'to', 'sth', '(', 'irr', ')'];None
2780;vegetarian;Vegetarier/in, vegetarisch;aktiv;5/A4;III;s/a;;;[('vegetarian', 'JJ')];['vegetarian'];['2343']
2781;custom;Sitte, Brauch, Gewohnheit;passiv;5/B1;III;s;;;[('custom', 'NN')];['custom'];None
2782;to get on (with sb) (irr);sich (mit jdm) verstehen;aktiv;5/B2;III;ph;Ben and his brother get on really well with each other.;;[('to', 'TO'), ('get', 'VB'), ('on', 'IN'), ('(', '('), ('with', 'IN'), ('sb', 'NN'), (')', ')'), ('(', '('), ('irr', 'NN'), (')', ')')];['to', 'get', 'on', '(', 'with', 'sb', ')', '(', 'irr', ')'];None
2783;tea (no pl);Tee;aktiv;5/B3;III;s;a cup of tea;ID 5143595;[('tea', 'NN'), ('(', '('), ('no', 'DT'), ('pl', 'NN'), (')', ')')];['tea', '(', 'no', 'pl', ')'];['2344', '2345']
2784;biscuit;Keks, Biskuit;aktiv;5/B3;III;s;;;[('biscuit', 'NN')];['biscuit'];['2344']
2785;tap water (no pl);Leitungswasser;passiv;5/B3;III;s;;;[('tap', 'JJ'), ('water', 'NN'), ('(', '('), ('no', 'DT'), ('pl', 'NN'), (')', ')')];['tap', 'water', '(', 'no', 'pl', ')'];['2346', '2350', '2389']
2786;tap;(Wasser)hahn;passiv;5/B3;III;s;;;[('tap', 'NN')];['tap'];['2346', '2350', '2374', '2389']
2787;bottled;in Flaschen abgefüllt;passiv;5/B3;III;a;;;[('bottled', 'VBN')];['bottled'];['2348', '2390', '2391', '2410']
2788;to be thirsty (irr);Durst haben, durstig sein;aktiv;5/B3;III;ph;I’m really thirsty. May I have a drink?;;[('to', 'TO'), ('be', 'VB'), ('thirsty', 'JJ'), ('(', '('), ('irr', 'NN'), (')', ')')];['to', 'be', 'thirsty', '(', 'irr', ')'];None
2789;curry;hier: indisches (Eintopf)gericht;passiv;5/B3;III;s;;;[('curry', 'NN')];['curry'];['2355', '2393', '2425', '2426', '2427']
2790;Indian;Inder/in, Indianer/in, indisch, indianisch;passiv;5/B3;III;s/a;;;[('Indian', 'JJ')];['Indian'];['2360', '2379', '2404', '2425']
2791;musician;Musiker/in;aktiv;5/B3;III;s;Pink and Robbie Williams are famous musicians.;;[('musician', 'NN')];['musician'];['2360']
2792;to mean to do sth (irr);etw tun wollen, etw beabsichtigen;aktiv;5/B3;III;ph;William didn’t mean to be late, but he missed the bus.;;[('to', 'TO'), ('mean', 'VB'), ('to', 'TO'), ('do', 'VB'), ('sth', 'NNS'), ('(', '('), ('irr', 'NN'), (')', ')')];['to', 'mean', 'to', 'do', 'sth', '(', 'irr', ')'];None
2793;shower;Schauer, Regen, Dusche;passiv;5/B3;III;s;;;[('shower', 'NN')];['shower'];['2373']
2794;ought to do sth;etw tun sollen;aktiv;5/B3;III;ph;I ought to tidy my room, but I’m tired.;;[('ought', 'MD'), ('to', 'TO'), ('do', 'VB'), ('sth', 'VB')];['ought', 'to', 'do', 'sth'];None
2795;choosy;wählerisch, heikel;aktiv;5/B5;III;a;Claire is very choosy. She doesn’t like a lot of things.;;[('choosy', 'NN')];['choosy'];['2386']
2796;spicy;würzig, scharf;passiv;5/B5;III;a;;;[('spicy', 'NN')];['spicy'];None
2797;tea bag;Teebeutel;passiv;5/B5;III;s;;;[('tea', 'NN'), ('bag', 'NN')];['tea', 'bag'];None
2798;direct;direkt, unmittelbar;aktiv;5/B5;III;a;Chris is very direct and always says what he is thinking.;;[('direct', 'JJ')];['direct'];None
2799;neither of ...;keine(r)/kein(e)s von ... beiden;passiv;5/B5;III;ph;;;[('neither', 'DT'), ('of', 'IN'), ('...', ':')];['neither', 'of', '...'];None
2800;to apologize (to/for);sich entschuldigen (bei/für);aktiv;5/B9;III;v;Tim didn’t apologize when he was late for class, so his teacher was very angry.;;[('to', 'TO'), ('apologize', 'VB'), ('(', '('), ('to/for', 'NN'), (')', ')')];['to', 'apologize', '(', 'to/for', ')'];['2417']
2801;apology;Entschuldigung, Bedauern;aktiv;5/B9;III;s;You broke Harry's Xbox so I think an apology is needed. – I'm sorry Harry.;;[('apology', 'NN')];['apology'];['2416']
2802;misunderstanding;Missverständnis, Meinungsverschiedenheit;aktiv;5/B10;III;s;There must have been a misunderstanding, I asked for apple juice, not orange juice.;;[('misunderstanding', 'VBG')];['misunderstanding'];None
2803;expression;Ausdruck, Äußerung;aktiv;5/B10;III;s;;;[('expression', 'NN')];['expression'];None
2804;combination;Kombination, Verbindung;aktiv;5/B11;III;s;Ice cream and chocolate are a great combination.;;[('combination', 'NN')];['combination'];None
2805;Bengali;Bengale/Bengalin, Bengali (Sprache), bengalisch;passiv;5/B11;III;s/a;;;[('Bengali', 'NN')];['Bengali'];None
2806;line;Linie, hier: Reihe;aktiv;5/B11;III;s;;;[('line', 'NN')];['line'];None
2807;balti (no pl);pakistanische Art des Kochens;passiv;5/B11;III;s;;;[('balti', 'NN'), ('(', '('), ('no', 'DT'), ('pl', 'NN'), (')', ')')];['balti', '(', 'no', 'pl', ')'];None
2808;fabric;Stoff;passiv;5/B11;III;s;;;[('fabric', 'NN')];['fabric'];None
2809;once;früher, einst;aktiv;5/B11;III;av;Claire's dad was once in a band. He played the guitar.;;[('once', 'RB')];['once'];None
2810;elsewhere;woanders, anderswo;passiv;5/B11;III;av;;;[('elsewhere', 'RB')];['elsewhere'];None
2811;brewery;Brauerei;passiv;5/B11;III;s;;;[('brewery', 'NN')];['brewery'];None
2812;independent;unabhängig, selbstständig;aktiv;5/B11;III;a;Hanna is very independent. She does a lot of things on her own.;;[('independent', 'JJ')];['independent'];None
2813;business (no pl);Handel, Geschäft, hier: Unternehmen;passiv;5/B11;III;s;;;[('business', 'NN'), ('(', '('), ('no', 'DT'), ('pl', 'NN'), (')', ')')];['business', '(', 'no', 'pl', ')'];None
2814;type;Art, Typ, Sorte;aktiv;5/B11;III;s;There were so many types of crisps in the shop. She didn't know which to buy.;ID 6114290;[('type', 'NN')];['type'];None
2815;bakery;Bäckerei, Bäcker- und Konditorei;passiv;5/B11;III;s;;;[('bakery', 'NN')];['bakery'];None
2816;paragraph;Absatz, Abschnitt;passiv;5/B14;III;s;;;[('paragraph', 'NN')];['paragraph'];None
2817;tube;Röhre, hier: die (Londoner) U-Bahn;passiv;5/B14;III;s;;;[('tube', 'NN')];['tube'];None
2818;embankment;(Straßen)damm, Böschung, Uferbefestigung;passiv;5/B14;III;s;;;[('embankment', 'NN')];['embankment'];None
2819;escalator;Rolltreppe;aktiv;5/B14;III;s;;;[('escalator', 'NN')];['escalator'];None
2820;bridge;Brücke;aktiv;5/B14;III;s;;ID 5004903;[('bridge', 'NN')];['bridge'];None
2821;artist;Künstler/in;aktiv;5/B14;III;s;;;[('artist', 'NN')];['artist'];None
2822;statue;Statue;passiv;5/B14;III;s;;;[('statue', 'NN')];['statue'];None
2823;fish and chips (no pl);fritierter Fisch mit Pommes frites;aktiv;5/B14;III;s;Fish and chips is a very popular meal in England.;;[('fish', 'JJ'), ('and', 'CC'), ('chips', 'NNS'), ('(', '('), ('no', 'DT'), ('pl', 'NN'), (')', ')')];['fish', 'and', 'chip', '(', 'no', 'pl', ')'];None
2824;cyclist;Radfahrer/in;aktiv;5/B14;III;s;;ID 1383691;[('cyclist', 'NN')];['cyclist'];None
2825;to take a (closer) look at sth (irr);sich etw (genauer) ansehen;aktiv;5/B14;III;ph;;;[('to', 'TO'), ('take', 'VB'), ('a', 'DT'), ('(', '('), ('closer', 'NN'), (')', ')'), ('look', 'NN'), ('at', 'IN'), ('sth', 'NN'), ('(', '('), ('irr', 'NN'), (')', ')')];['to', 'take', 'a', '(', 'closer', ')', 'look', 'at', 'sth', '(', 'irr', ')'];None
2826;structure;Struktur, Aufbau;aktiv;5/B14;III;s;;;[('structure', 'NN')];['structure'];None
2827;to be into sb/sth (informal, irr);an jdm/etw interessiert sein;aktiv;5/C;III;ph;Danielle is really into music. She likes it a lot.;;[('to', 'TO'), ('be', 'VB'), ('into', 'IN'), ('sb/sth', 'JJ'), ('(', '('), ('informal', 'JJ'), (',', ','), ('irr', 'NN'), (')', ')')];['to', 'be', 'into', 'sb/sth', '(', 'informal', ',', 'irr', ')'];None
2828;pinboard;Pinnwand;passiv;5/C1;III;s;;;[('pinboard', 'NN')];['pinboard'];['2445']
2829;Formula 1 (no pl);Formel 1;passiv;5/C1;III;s;;;[('Formula', 'NN'), ('1', 'CD'), ('(', '('), ('no', 'DT'), ('pl', 'NN'), (')', ')')];['Formula', '1', '(', 'no', 'pl', ')'];None
2830;heptathlon (no pl);Siebenkampf;passiv;5/C1;III;s;;;[('heptathlon', 'NN'), ('(', '('), ('no', 'DT'), ('pl', 'NN'), (')', ')')];['heptathlon', '(', 'no', 'pl', ')'];None
2831;athlete;Athlet/in;aktiv;5/C2;III;s;There were athletes from all over the world at the Olympic Games in London.;;[('athlete', 'NN')];['athlete'];['2458', '2463']
2832;to develop;entwickeln, entstehen, erarbeiten;aktiv;5/C4;III;v;;;[('to', 'TO'), ('develop', 'VB')];['to', 'develop'];['2450']
2833;elbow;Ell(en)bogen;aktiv;5/C4;III;s;;ID 1389838;[('elbow', 'NN')];['elbow'];['2450']
2834;talented;talentiert, begabt;aktiv;5/C4;III;a;;;[('talented', 'VBN')];['talented'];['2451']
2835;sprinter;(Kurzstrecken)läufer/in;passiv;5/C4;III;s;;;[('sprinter', 'NN')];['sprinter'];['2451']
2836;passion;Passion, Vorliebe, Leidenschaft;aktiv;5/C4;III;s;;;[('passion', 'NN')];['passion'];['2451']
2837;to compete;wetteifern, antreten, kämpfen;aktiv;5/C4;III;v;Would you like to compete in the Olympics?;;[('to', 'TO'), ('compete', 'VB')];['to', 'compete'];None
2838;career;Beruf, Karriere, Werdegang;aktiv;5/C4;III;s;career = job;;[('career', 'NN')];['career'];None
2839;Paralympics (only pl);olympische Spiele für Behinderte;passiv;5/C4;III;s;;;[('Paralympics', 'NNS'), ('(', '('), ('only', 'RB'), ('pl', 'NN'), (')', ')')];['Paralympics', '(', 'only', 'pl', ')'];None
2840;in addition (to);zusätzlich (zu);aktiv;5/C4;III;ph;;;[('in', 'IN'), ('addition', 'NN'), ('(', '('), ('to', 'TO'), (')', ')')];['in', 'addition', '(', 'to', ')'];None
2841;to be keen to do sth (irr);etw unbedingt tun wollen;aktiv;5/C4;III;ph;I am keen to go to Scotland because it looks interesting.;;[('to', 'TO'), ('be', 'VB'), ('keen', 'JJ'), ('to', 'TO'), ('do', 'VB'), ('sth', 'NNS'), ('(', '('), ('irr', 'NN'), (')', ')')];['to', 'be', 'keen', 'to', 'do', 'sth', '(', 'irr', ')'];None
2842;to continue doing sth/to do sth;weiter(hin) etw tun;aktiv;5/C4;III;ph;to continue doing sth ↔ to stop doing sth;;[('to', 'TO'), ('continue', 'VB'), ('doing', 'VBG'), ('sth/to', 'NNS'), ('do', 'VBP'), ('sth', 'VB')];['to', 'continue', 'doing', 'sth/to', 'do', 'sth'];None
2843;to focus;sich konzentrieren, fokussieren;aktiv;5/C4;III;v;to focus = to concentrate;;[('to', 'TO'), ('focus', 'VB')];['to', 'focus'];None
